id;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jenis_bencana;jumlah_kejadian;satuan;tahun
1;JAWA BARAT;3201;KABUPATEN BOGOR;BANJIR;9;KEJADIAN;2022
2;JAWA BARAT;3201;KABUPATEN BOGOR;TANAH LONGSOR;53;KEJADIAN;2022
3;JAWA BARAT;3201;KABUPATEN BOGOR;ABRASI;0;KEJADIAN;2022
4;JAWA BARAT;3201;KABUPATEN BOGOR;NGIN PUTING BELIUNG;67;KEJADIAN;2022
5;JAWA BARAT;3201;KABUPATEN BOGOR;KEKERINGAN;2;KEJADIAN;2022
6;JAWA BARAT;3201;KABUPATEN BOGOR;KEBAKARAN HUTAN;0;KEJADIAN;2022
7;JAWA BARAT;3201;KABUPATEN BOGOR;GEMPA BUMI;0;KEJADIAN;2022
8;JAWA BARAT;3201;KABUPATEN BOGOR;TSUNAMI;0;KEJADIAN;2022
9;JAWA BARAT;3202;KABUPATEN SUKABUMI;BANJIR;12;KEJADIAN;2022
10;JAWA BARAT;3202;KABUPATEN SUKABUMI;TANAH LONGSOR;49;KEJADIAN;2022
11;JAWA BARAT;3202;KABUPATEN SUKABUMI;ABRASI;0;KEJADIAN;2022
12;JAWA BARAT;3202;KABUPATEN SUKABUMI;NGIN PUTING BELIUNG;38;KEJADIAN;2022
13;JAWA BARAT;3202;KABUPATEN SUKABUMI;KEKERINGAN;0;KEJADIAN;2022
14;JAWA BARAT;3202;KABUPATEN SUKABUMI;KEBAKARAN HUTAN;0;KEJADIAN;2022
15;JAWA BARAT;3202;KABUPATEN SUKABUMI;GEMPA BUMI;6;KEJADIAN;2022
16;JAWA BARAT;3202;KABUPATEN SUKABUMI;TSUNAMI;0;KEJADIAN;2022
17;JAWA BARAT;3203;KABUPATEN CIANJUR;BANJIR;5;KEJADIAN;2022
18;JAWA BARAT;3203;KABUPATEN CIANJUR;TANAH LONGSOR;13;KEJADIAN;2022
19;JAWA BARAT;3203;KABUPATEN CIANJUR;ABRASI;0;KEJADIAN;2022
20;JAWA BARAT;3203;KABUPATEN CIANJUR;NGIN PUTING BELIUNG;5;KEJADIAN;2022
21;JAWA BARAT;3203;KABUPATEN CIANJUR;KEKERINGAN;0;KEJADIAN;2022
22;JAWA BARAT;3203;KABUPATEN CIANJUR;KEBAKARAN HUTAN;0;KEJADIAN;2022
23;JAWA BARAT;3203;KABUPATEN CIANJUR;GEMPA BUMI;1;KEJADIAN;2022
24;JAWA BARAT;3203;KABUPATEN CIANJUR;TSUNAMI;0;KEJADIAN;2022
25;JAWA BARAT;3204;KABUPATEN BANDUNG;BANJIR;15;KEJADIAN;2022
26;JAWA BARAT;3204;KABUPATEN BANDUNG;TANAH LONGSOR;12;KEJADIAN;2022
27;JAWA BARAT;3204;KABUPATEN BANDUNG;ABRASI;0;KEJADIAN;2022
28;JAWA BARAT;3204;KABUPATEN BANDUNG;NGIN PUTING BELIUNG;14;KEJADIAN;2022
29;JAWA BARAT;3204;KABUPATEN BANDUNG;KEKERINGAN;0;KEJADIAN;2022
30;JAWA BARAT;3204;KABUPATEN BANDUNG;KEBAKARAN HUTAN;0;KEJADIAN;2022
31;JAWA BARAT;3204;KABUPATEN BANDUNG;GEMPA BUMI;2;KEJADIAN;2022
32;JAWA BARAT;3204;KABUPATEN BANDUNG;TSUNAMI;0;KEJADIAN;2022
33;JAWA BARAT;3205;KABUPATEN GARUT;BANJIR;5;KEJADIAN;2022
34;JAWA BARAT;3205;KABUPATEN GARUT;TANAH LONGSOR;10;KEJADIAN;2022
35;JAWA BARAT;3205;KABUPATEN GARUT;ABRASI;0;KEJADIAN;2022
36;JAWA BARAT;3205;KABUPATEN GARUT;NGIN PUTING BELIUNG;6;KEJADIAN;2022
37;JAWA BARAT;3205;KABUPATEN GARUT;KEKERINGAN;0;KEJADIAN;2022
38;JAWA BARAT;3205;KABUPATEN GARUT;KEBAKARAN HUTAN;0;KEJADIAN;2022
39;JAWA BARAT;3205;KABUPATEN GARUT;GEMPA BUMI;0;KEJADIAN;2022
40;JAWA BARAT;3205;KABUPATEN GARUT;TSUNAMI;0;KEJADIAN;2022
